nom_rue,longueur_km,segments
Gluckstraße,0.17255730634005076,2
Philippstraße,0.6060914255496378,3
Brahmsstraße,9.14168252228315,2
Kalliwodastraße,0.0997197367798838,1
Händelstraße,38.031042216825206,3
Schubertstraße,92.017499247342,8
Richard-Wagner-Straße,0.6217062705682695,4
Wendtstraße,0.2433953049895543,1
Dragonerstraße,0.22063762627588215,1
Fanny-Hensel-Anlage,0.037333133571886466,1
Göhrenstraße,1.0081534967599752,2
Arndtstraße,6.771504286560653,5
Lebrechtstraße,0.7568027780995841,1
Tulpenstraße,77.84314911186375,18
Hauptweg 2,0.32523496352653075,1
Hauffstraße,1.2312657540698424,2
Elfenweg,0.5631667695892922,3
Nikolaus-Lenau-Straße,0.40574087023685185,3
Fronstraße,0.5610904598013116,1
Schenkendorfstraße,0.1429664726055714,1
Lauschiger Weg,0.633645695357669,3
Schneewittchenweg,11.961469133832809,4
Prinzenweg,0.7815520153608798,3
Breisgaustraße,10.702964716288093,2
Försterpfad,0.2669391921455425,1
Kleiststraße,12.939706796094322,2
Hegaustraße,11.202412647973103,4
Tannhäuserstraße,0.5957192091450482,2
Lohengrinstraße,0.3050341122278174,3
Kärcherstraße,0.7694671532771286,6
Stösserstraße,0.6440139149694247,1
Kanonierstraße,0.29432556796694026,1
Nibelungenplatz,0.19358325405688004,1
Tristanstraße,0.169631108841358,1
Nibelungenstraße,0.3156712459214878,1
Felix-Mottl-Straße,0.30061545076276264,2
Devrientstraße,0.29437193202845313,1
Hagenstraße,13.326386786743528,2
Alberichstraße,0.2678596472551986,1
Albring,1.764846837960221,3
Am Sonnenbad,1.8156900056296812,9
Lüderitzstraße,0.155719041394579,1
Südliche Uferstraße,2.023206344282029,6
Eschenweg,11.547220260917308,2
Espenweg,0.26837477496926215,1
Schenkenburgstraße,2.236185540534324,6
Ortenbergstraße,0.8745265008409506,4
St.-Georg-Straße,0.2248025896078718,1
Lotzbeckstraße,0.6833162706061162,2
Akazienstraße,4.6786395734086765,8
Rolandstraße,1.8789470281804062,6
Ulmenallee,0.7455206589361472,2
Haselweg,31.407121023475305,3
Herrmann-Leichtlin-Straße,0.5401483483025551,2
Charlottenplatz,0.1691876061318639,2
Rheinhafenstraße,45.32936155735876,67
Wißmannstraße,0.07132666230326203,1
Unterreut,0.3045758483864964,2
Eichenweg,50.037928509475705,6
Ahornweg,63.65330163086448,8
Rüsterweg,0.35493746356652645,1
Hausackerstraße,0.1536092580158936,2
Siedlerstraße,0.9705424541114995,3
Markusstraße,0.13876828684535664,1
Unterweingartenfeld,0.9669416975934773,4
Pfannkuchstraße,1.7466340943995313,4
Carl-Metz-Straße,2.190415188006834,9
Mühlburger Straße,25.464833859364408,8
Neubruchstraße,0.11627989331124493,1
Hardeckstraße,3.072263170593924,8
Laurentiusstraße,1.9497956759255783,7
Hubertusallee,0.5297191226274462,3
Oberkirchfeldstraße,0.5063211471347757,1
Rolandplatz,0.4242082190311308,2
Karl-Schrempp-Straße,0.7857608578615085,3
Friedrich-Wolff-Straße,0.800143548801341,4
Stuttgarter Straße,16.068085345751186,22
Wolfartsweierer Straße,27.860846649273608,58
Gut-Magnus-Straße,0.43238131698873167,1
Wachhausstraße,8.26226072969933,24
Eugen-Langen-Straße,0.06603723980445042,1
Kieselweg,0.6503790327997486,4
Dieselstraße,104.50404600662131,11
Wilferdinger Straße,0.8177858813617702,2
Lissenstraße,0.13235426806759365,2
Pforzheimer Straße,82.29632016446759,30
Durlacher Allee,169.2342179399747,135
Ettlinger Straße,31.51366875565623,108
Kurfürstenstraße,0.1432811315741728,1
Vorholzstraße,4.816386876510752,10
Bertha-von-Suttner-Straße,8.541382211823391,3
Albert-Schweitzer-Straße,50.27459833661391,13
Marie-Curie-Straße,81.2760892724152,10
Erasmusstraße,0.2222782213042236,1
De-Coster-Straße,0.10699308655390691,1
Pascalstraße,0.10767524204778255,1
Schneidemühler Straße,6.290297196171485,12
Elbinger Straße,5.686919575920786,12
Ortelsburger Straße,0.14109910718616134,1
Stolper Straße,0.1357568970094907,1
Lycker Straße,0.05522391612664003,2
Johannisburger Straße,0.2797321758719543,2
Neidenburger Straße,0.5106457162013983,4
Insterburger Straße,5.664801262921934,7
Küstriner Straße,0.12221222223601413,1
Pillauer Straße,0.19155542269646528,2
Kolberger Straße,7.92014616265986,17
Braunsberger Straße,0.10794786215628568,1
Friedlander Straße,0.2593661730163215,2
Beuthener Straße,9.629413350544514,26
Glogauer Straße,9.332548457060074,26
Hirtenweg,75.93263504403681,35
Hinterwiesenweg,3.0807877777903325,4
Ruschgraben,6.357073631569086,16
Brettener Straße,0.5701600623568246,3
Hagdornstraße,1.0911407845129486,10
Gerhardtstraße,0.1367133670268666,2
An der Bahn,9.461385652147001,3
Waldeckstraße,1.3530518357421775,6
Weimarer Straße,26.0928288216508,16
Neuheckstraße,0.6411332180451969,2
Hirschäckerstraße,0.9198554237013716,3
Bruchsaler Straße,49.50932622515022,19
Oberdorfstraße,0.2489880146838621,6
Stückeläckerstraße,0.1397675399135908,1
Weglangstraße,0.15737276183425083,1
Zwickauer Straße,0.5874633013039272,3
Leipziger Allee,1.9479155567425788,8
Meißener Straße,2.000628552451418,12
Naumburger Straße,3.3290675327334056,16
Kösliner Straße,1.386923402282645,4
Wehlauer Straße,1.3925968969989024,5
Im Eichbäumle,2.736894033882326,7
Büchiger Allee,6.467048690236241,7
Dürrenwettersbacher Straße,1.4537370881722889,3
Schilling-von-Canstatt-Straße,0.9457236672005281,3
Elsa-Brändström-Straße,2.258267484196326,9
Kirchplatz,43.49620306825797,5
Bergwaldanger,0.3471983808887741,3
Hooverstraße,0.37633229277577446,2
Neureuter Querallee,12.30912174449942,27
New-York-Straße,1.2120792861338978,4
Klammweg,33.58248442075124,8
Salbeiweg,3.001813990795203,7
Am Sandfeld,0.9821986453456751,3
Am Hubengut,0.21208565453423267,1
Alte Kreisstraße,3.8803268483636586,13
